Statistic,Value
method,susie
n_train,8192
n_test,12365
n_variables,21
n_selected_variables,10
n_credible_sets,10
converged,TRUE
n_iterations,9
susie_execution_time_seconds,0.249737024307251
train_accuracy,0.6573486328125
train_balanced_accuracy,0.6573486328125
test_accuracy,0.655236554791751
test_balanced_accuracy,0.658751128926286
train_auc,0.714357823133469
test_auc,0.712189222851907
train_f1,0.658640398881187
test_f1,0.360581970901455
