Metric,Training,Test
Accuracy,0.6573,0.6552
Balanced Accuracy,0.6573,0.6588
AUC,0.7144,0.7122
Recall,0.6611,0.6637
Specificity,0.6536,0.6538
Precision,0.6562,0.2475
F1-Score,0.6586,0.3606
