CS,Size,Coverage,MinAbsCorr,MeanAbsCorr,MedianAbsCorr
CS1,1,1,1,1,1
CS2,1,0.9999999973584335,1,1,1
CS3,1,1,1,1,1
CS4,1,0.9999999999934708,1,1,1
CS5,1,0.9999999999999367,1,1,1
CS6,1,1,1,1,1
CS7,1,0.9999999921635206,1,1,1
CS8,1,0.9999700590463807,1,1,1
CS9,1,0.9996277419252656,1,1,1
CS10,1,0.973204696056346,1,1,1
