variable,type
LBDHCV,numeric
LBXHA,numeric
LBXHBC,numeric
LBXHBS,numeric
LBDIRNSI,numeric
LBDPCT,numeric
LBDSIRSI,numeric
LBDTIBSI,numeric
LBXIRN,numeric
LBXSIR,numeric
LBXTIB,numeric
LBXSLDSI,numeric
LBXSOSSI,numeric
LBDSPHSI,numeric
LBXSPH,numeric
LBDINSI,numeric
LBXGLU,numeric
LBXIN,numeric
LBXSGL,numeric
PHAFSTHR,numeric
LBDSTPSI,numeric
LBXSTP,numeric
LBDSUASI,numeric
LBXSUA,numeric
WT_LBDTLY,numeric
WT_LBXALC,numeric
WT_LBXB12,numeric
WT_LBXBCC,numeric
WT_LBXBPB,numeric
WT_LBXBSE,numeric
WT_LBXCOT,numeric
WT_LBXCRY,numeric
WT_LBXLUZ,numeric
WT_URXUCD,numeric
WT_LBXSCA,numeric
WT_LBXSCLSI,numeric
WT_LBXSKSI,numeric
WT_LBXSNASI,numeric
WT_LBXVIA,numeric
WT_LBXVIC,numeric
WT_LBXVIDMS,numeric
WT_URXUIO,numeric
Sys_BP,numeric
Dia_BP,numeric
Diabetic,numeric
eGFR,numeric
VNMORTSTAT_Assumed deceased,encoded_categorical
VNUCOD_LEADING_All other causes (residual),encoded_categorical
VNUCOD_LEADING_Alzheimer’s disease (052),encoded_categorical
VNUCOD_LEADING_Cerebrovascular diseases (070),encoded_categorical
VNUCOD_LEADING_Chronic lower respiratory diseases (082-086),encoded_categorical
VNUCOD_LEADING_Diabetes mellitus (046),encoded_categorical
VNUCOD_LEADING_Diseases of heart (054-064),encoded_categorical
VNUCOD_LEADING_Influenza and pneumonia (076-078),encoded_categorical
VNUCOD_LEADING_Malignant neoplasms (019-043),encoded_categorical
"VNUCOD_LEADING_Nephritis, nephrotic syndrome and nephrosis (097-101)",encoded_categorical
VNDIABETES_Yes,encoded_categorical
VNHYPERTEN_Yes,encoded_categorical
VNBWCURRJOB_White,encoded_categorical
VNBWLONGJOB_White,encoded_categorical
