Metric,Training,Test
Accuracy,0.6595,0.6476
Balanced Accuracy,0.6595,0.6614
AUC,0.7175,0.7166
Recall,0.6819,0.6808
Specificity,0.6372,0.6419
Precision,0.6527,0.246
F1-Score,0.667,0.3614
