CS,Size,Coverage,MinAbsCorr,MeanAbsCorr,MedianAbsCorr
CS1,1,1,1,1,1
CS2,1,0.999999999997794,1,1,1
CS3,1,1,1,1,1
CS4,1,0.9999999999997751,1,1,1
CS5,1,0.9999991746017287,1,1,1
CS6,1,0.9753954083544921,1,1,1
CS7,1,0.9999999999998788,1,1,1
CS8,1,1,1,1,1
CS9,1,0.9999994521910606,1,1,1
CS10,1,0.9971109420695536,1,1,1
