Statistic,Value
method,susie
n_train,8192
n_test,12365
n_variables,50
n_selected_variables,12
n_credible_sets,12
converged,TRUE
n_iterations,26
susie_execution_time_seconds,1.0455470085144
train_accuracy,0.6754150390625
train_balanced_accuracy,0.6754150390625
test_accuracy,0.655802668823292
test_balanced_accuracy,0.670975944805746
train_auc,0.733146548271179
test_auc,0.728237320055879
train_f1,0.683791176120823
test_f1,0.370786516853933
