Statistic,Value
method,susie
n_train,8192
n_test,12365
n_variables,300
n_selected_variables,11
n_credible_sets,10
converged,TRUE
n_iterations,15
susie_execution_time_seconds,1.81686496734619
train_accuracy,0.798828125
train_balanced_accuracy,0.798828125
test_accuracy,0.79239789729074
test_balanced_accuracy,0.793305303627936
train_auc,0.87971305847168
test_auc,0.86818373640881
train_f1,0.799902865468674
test_f1,0.528558310376492
