Metric,Training,Test
Accuracy,0.7988,0.7924
Balanced Accuracy,0.7988,0.7933
AUC,0.8797,0.8682
Recall,0.8042,0.7946
Specificity,0.7935,0.792
Precision,0.7957,0.396
F1-Score,0.79990000000000006,0.5286
