Metric,Training,Test
Accuracy,0.6073,0.5892
Balanced Accuracy,0.6073,0.6141
AUC,0.646,0.6502
Recall,0.645,0.6494
Specificity,0.5696,0.5789
Precision,0.5998,0.2093
F1-Score,0.6216,0.3165
