Statistic,Value
method,susie
n_train,8192
n_test,12365
n_variables,29
n_selected_variables,12
n_credible_sets,12
converged,TRUE
n_iterations,51
susie_execution_time_seconds,1.53674077987671
train_accuracy,0.623779296875
train_balanced_accuracy,0.623779296875
test_accuracy,0.590537808329964
test_balanced_accuracy,0.619935946153499
train_auc,0.661398530006409
test_auc,0.659224464396351
train_f1,0.641461144718474
test_f1,0.321222684005899
