CS,Size,Coverage,MinAbsCorr,MeanAbsCorr,MedianAbsCorr
CS1,1,0.9999999999999998,1,1,1
CS2,1,1,1,1,1
CS3,1,0.9999526752235829,1,1,1
CS4,1,0.9740779585740729,1,1,1
CS5,1,1,1,1,1
CS6,1,0.9999999999999976,1,1,1
CS7,1,0.9999999999999594,1,1,1
CS8,1,0.999912084253568,1,1,1
CS9,1,1,1,1,1
CS10,1,0.9999999999999996,1,1,1
CS11,1,0.999999999984635,1,1,1
CS12,1,0.9739119552259391,1,1,1
